Frequency_Hz	Pair_2_Noise_nV	Pair_3_Noise_nV
0.879625	0.00018556157243028524	0.00027446391939852494
0.892	0.00029105104962320617	0.0003243040463713797
0.904375	0.00020979113144523057	0.0002733049801448009
0.91675	0.00021212576935358422	0.0003069086818132065
0.929125	0.00013003602460755865	0.00032861904909908617
0.9415	0.00027025746301813223	0.00020864503049408366
0.953875	0.0002076676931617434	0.00017438517223135685
0.96625	0.0002666878621352123	0.0002430280949246815
0.978625	0.00029168278631556233	0.0002673226590684935
0.991	0.00012484283730066376	4.472701526370835e-05
1.0	0.00021207199595216973	0.0001406780205396959
1.003375	0.00011060093314506888	0.00019530299309165747
1.01575	0.00022355002065501113	0.00022840218930847818
1.028125	0.00018001952022257448	0.00016376774833561062
1.0405	0.00014652883849172624	0.0002626749855491086
1.052875	0.0001451613516084774	0.00017350604746002373
1.061875	0.0002862079180775296	0.0002024576782632457
1.06525	0.00016317824850193728	0.00024779085327178646
1.077625	8.705542922804986e-05	0.00017668104659832645
1.09	0.0002222480818836507	0.0003174845262348417
1.102375	0.000126379447750607	0.00032481089011539993
1.11475	0.0001343413693831889	0.00025303566424838295
1.12375	0.0003030523171469037	0.00015644263494874887
1.127125	0.0001764229945004548	0.000235117050621063
1.1395	0.00020123557972984398	0.0002745524749441469
1.151875	0.00019159651029691826	0.00032179552869731904
1.16425	0.00016868214846518404	0.00024252790026442402
1.176625	0.00012268785722151926	0.00011802174977883484
1.185625	0.00023539728704625608	0.0001248092268764914
1.189	0.00021090915124829363	0.0001837438176615355
1.201375	0.00021543909960168697	0.00020217948650687982
1.21375	0.0002550409903041821	0.000264980580607821
1.226125	6.0158195435431736e-05	0.00022599659038411972
1.2385	0.0001996423877851322	0.00017873810932417044
1.2475	0.00022930946381034408	0.0001783064062380752
1.250875	0.00024327850568588565	0.00014619488433443046
1.26325	0.00017811522865275473	0.00023177642735408427
1.275625	0.00016672491925594807	0.00022713603616533948
1.288	0.0002615085097823709	0.00010843692303545137
1.300375	0.0001937236360839069	7.321170824922746e-05
1.309375	0.00022707922546420906	0.00022603220735316703
1.31275	0.00011798497281210815	0.00015906134563313585
1.325125	0.00017128667001173792	0.000217337240367844
1.3375	7.290898295049175e-05	7.334853876877916e-05
1.349875	0.00019205561572992316	0.00022444761940746866
1.36225	0.00029085439950115525	5.897181207502869e-05
1.37125	0.0002677472074710941	0.0002763935399520204
1.374625	0.00020762944636732141	0.00015567105234548393
1.387	0.0001146536963618705	0.00021239824196296917
1.399375	0.000153935698396308	0.000202349065003422
1.41175	0.00010551014078026385	0.00014113683870003996
1.424125	0.00014855431772363233	0.00016833802800583683
1.433125	0.00023898831611387112	0.00025571814774103067
1.4365	0.00025842654357180185	0.00022375170397500528
1.448875	0.00025103024038481396	0.00014102690685166254
1.46125	0.00019073289175017925	0.00014070743911576104
1.473625	0.0003483550656715098	0.00022536150198159823
1.486	0.00030967130971176776	0.00015216467336156444
1.495	0.0002297529404296439	0.00017769566896598098
1.498375	0.0001756166069676225	0.00017423527659684877
1.51075	0.0001094040437413371	0.0002364218353576429
1.523125	0.00014269640008532486	0.00022266345693121962
1.5355	0.00015667253572944557	0.00022700880376356423
1.547875	0.00015228642299593717	0.0001990868331758469
1.556875	0.00022570477648788893	0.0002515728352485774
1.56025	0.00018588277891779434	0.00010283260993790638
1.572625	0.00020203738675009732	7.869831795310748e-05
1.585	0.00018273000845324533	0.00011719418015197299
1.597375	0.0002257458705928053	0.0001493503583548215
1.60975	0.00016212903005939438	0.0001840333296545764
1.61875	0.00021119132999262636	0.00021822154431653718
1.622125	0.00021822365631300012	0.00022481248183367042
1.6345	0.00023088823128255694	0.00018921179568004608
1.646875	0.0001047425622833507	0.000151171858464238
1.65925	0.00018162783495563777	0.00021178411075704524
1.671625	0.00017175453686936218	0.00012591257096747368
1.680625	0.00018078216230981307	0.00015048068174115106
1.684	0.00017790096091839722	0.00017581451659006743
1.696375	0.00014276015971440034	0.0002826926772975931
1.70875	0.00013445970832505586	0.0002657788869734936
1.721125	0.0002021820915138915	0.0001520985710821821
1.7335	0.00015395424335242435	0.00021489288488439422
