f	noise
4.43125	9.408166e-06
4.443625	7.87749e-06
4.456	2.027653e-05
4.465	2.241971e-05
4.468375	1.664537e-05
4.48075	6.580413e-06
4.493125	1.511933e-05
4.5055	1.383616e-05
4.517875	2.412921e-05
4.526875	2.305641e-05
4.53025	2.379416e-05
4.542625	2.857666e-05
4.555	2.715313e-05
4.567375	2.385916e-05
4.57975	1.881604e-05
4.58875	2.742047e-05
4.592125	1.6843e-05
4.6045	2.950784e-05
4.616875	4.244708e-05
4.62925	3.45715e-05
4.641625	2.507501e-05
4.650625	1.884703e-05
4.654	2.689792e-05
4.666375	2.942786e-05
4.67875	1.915715e-05
4.691125	2.182106e-05
4.7035	3.376674e-05
4.7125	1.96186e-05
4.715875	3.515225e-05
4.72825	1.971259e-05
4.740625	1.461208e-05
4.753	1.764368e-05
4.765375	1.147342e-05
4.774375	2.210976e-05
4.77775	1.234154e-05
4.790125	2.763063e-05
4.8025	2.483926e-05
4.814875	2.473993e-05
4.82725	2.234923e-05
4.83625	2.342433e-05
4.839625	1.643813e-05
4.852	1.881811e-05
4.864375	2.650303e-05
4.87675	1.749874e-05
4.889125	1.734485e-05
4.898125	2.201345e-05
4.9015	3.199008e-05
4.913875	3.036468e-05
4.92625	2.28134e-05
4.938625	2.265441e-05
4.951	2.008658e-05
4.96	1.997202e-05
4.963375	2.489005e-05
4.97575	2.610237e-05
4.988125	2.942843e-05
5.0005	1.839226e-05
5.012875	1.913079e-05
5.021875	2.005809e-05
5.02525	1.088703e-05
5.037625	1.926974e-05
5.05	1.852389e-05
5.062375	1.054693e-05
5.07475	9.322353e-06
5.08375	2.042873e-05
5.087125	1.410039e-05
5.0995	2.758545e-05
5.111875	1.9196e-05
5.12425	2.02887e-05
5.136625	2.836582e-05
5.145625	2.039927e-05
5.149	2.934258e-05
5.161375	2.590145e-05
5.17375	1.387301e-05
5.186125	2.08e-05
5.1985	1.977248e-05
5.2075	1.638468e-05
5.210875	2.153253e-05
5.22325	2.257166e-05
5.235625	1.967706e-05
5.248	1.085863e-05
5.260375	2.064478e-05
5.269375	1.969079e-05
5.27275	2.556726e-05
5.285125	1.817522e-05
5.2975	2.040301e-05
5.309875	2.506415e-05
5.32225	2.184193e-05
5.33125	2.066895e-05
5.334625	2.1398e-05
5.347	3.086392e-05
5.359375	2.696913e-05
5.37175	1.291059e-05
5.384125	1.700679e-05
5.393125	1.693107e-05
5.3965	1.056178e-05
5.408875	1.149405e-05
5.42125	2.115025e-05
5.433625	2.256182e-05
5.446	1.53689e-05
5.455	2.051502e-05
5.458375	1.844288e-05
5.47075	1.592851e-05
5.483125	2.184045e-05
5.4955	2.335917e-05
5.507875	1.785663e-05
5.516875	1.992209e-05
5.52025	2.15503e-05
5.532625	3.632657e-05
5.545	3.55389e-05
5.557375	1.410586e-05
5.56975	1.393621e-05
5.57875	1.351187e-05
5.582125	1.723538e-05
5.5945	2.020287e-05
5.606875	8.870968e-06
5.61925	9.764799e-06
5.631625	1.286874e-05
5.640625	1.782125e-05
5.644	1.405135e-05
5.656375	2.099423e-05
5.66875	2.42975e-05
5.681125	1.289704e-05
5.6935	2.295181e-05
5.7025	1.765713e-05
5.705875	2.135472e-05
5.71825	1.688086e-05
5.730625	1.891097e-05
5.743	2.327144e-05
5.755375	2.132803e-05
5.764375	2.074885e-05
5.76775	1.74974e-05
5.780125	1.204711e-05
5.7925	1.117495e-05
5.804875	2.3186e-05
5.81725	2.63677e-05
5.82625	1.807074e-05
5.829625	2.226592e-05
5.842	2.642365e-05
5.854375	1.954193e-05
5.86675	1.173432e-05
5.879125	1.534683e-05
5.888125	1.797892e-05
5.8915	1.912406e-05
5.903875	1.548223e-05
5.91625	1.100499e-05
5.928625	1.881905e-05
5.941	2.036759e-05
5.95	1.928875e-05
5.953375	5.777214e-06
5.96575	1.159713e-05
5.978125	8.27109e-06
5.9905	1.849159e-05
6.002875	2.012132e-05
6.011875	1.550452e-05
6.01525	1.997939e-05
6.027625	1.400522e-05
6.04	2.148232e-05
6.052375	1.980545e-05
6.06475	1.631029e-05
6.07375	1.926551e-05
6.077125	1.17584e-05
6.0895	1.657494e-05
6.101875	6.269488e-06
6.11425	6.789539e-06
6.126625	5.211561e-06
6.135625	1.618869e-05
6.139	1.031284e-05
6.151375	1.391159e-05
6.16375	1.816374e-05
6.176125	1.847758e-05
6.1885	2.092362e-05
6.1975	1.257139e-05
6.200875	2.397796e-05
6.21325	1.999125e-05
6.225625	1.879519e-05
6.238	1.995164e-05
6.250375	2.004213e-05
6.259375	1.583425e-05
6.26275	1.755204e-05
6.275125	1.427844e-05
6.2875	1.590654e-05
6.299875	1.592125e-05
6.31225	1.419522e-05
6.32125	1.70054e-05
6.324625	2.375334e-05
6.337	1.460157e-05
6.349375	1.110074e-05
6.36175	1.526172e-05
6.374125	1.962173e-05
6.383125	1.219502e-05
6.3865	2.331122e-05
6.398875	1.653115e-05
6.41125	1.784438e-05
6.423625	1.8924e-05
6.436	2.369753e-05
6.445	1.589206e-05
6.448375	2.090321e-05
6.46075	1.515745e-05
6.473125	2.097314e-05
6.4855	1.797047e-05
6.497875	2.260979e-05
6.506875	1.905446e-05
6.51025	1.686947e-05
6.522625	2.11125e-05
6.535	1.675781e-05
6.547375	1.161958e-05
6.55975	1.113581e-05
6.56875	1.921364e-05
6.572125	1.508785e-05
6.5845	1.891711e-05
6.596875	1.997756e-05
6.60925	1.6492e-05
6.621625	1.250065e-05
6.630625	2.148149e-05
6.634	1.88925e-05
6.646375	2.024518e-05
6.65875	1.412492e-05
6.671125	1.344534e-05
6.6835	1.322664e-05
6.6925	2.144523e-05
6.695875	1.663474e-05
6.70825	1.757333e-05
6.720625	1.838716e-05
6.733	1.120628e-05
6.745375	1.69545e-05
6.754375	1.58472e-05
6.75775	9.090827e-06
6.770125	1.867182e-05
6.7825	2.609687e-05
6.794875	1.72302e-05
6.80725	1.323342e-05
6.81625	1.309264e-05
6.819625	1.494208e-05
6.832	1.136309e-05
6.844375	1.285457e-05
6.85675	1.538952e-05
6.869125	1.216709e-05
6.878125	1.257672e-05
6.8815	8.050591e-06
6.893875	1.145747e-05
6.90625	1.79928e-05
6.918625	1.066142e-05
