Frequency_Hz	Mismatch_0.05	Mismatch_0.04	Mismatch_0.03
1.646875	0.0003258536271762547	0.0002485387565595588	0.0002011943208691826
1.65925	0.00042184959963548907	0.00018542659540387508	0.00022461646909937926
1.671625	0.0004109206268015261	0.00019828146885780604	0.00029489540793806727
1.680625			0.00024378500249271198
1.684	0.0003040310608573392	0.00018001756038408894	0.0002988296187724522
1.696375	0.0003987175590573246	0.0001458656840988692	0.00017359368587641975
1.70875	0.0005093796154975866	0.00021378049457997588	0.00017982691159005955
1.721125	0.00033055468450566785	0.00032254658314408104	0.00019009139952973043
1.7335	0.00023558858908102382	0.0003257332427235782	0.00017346505460909845
1.7425			0.0002567422814767595
1.745875	0.00022819602160292893	0.00027992712778793775	0.00012342794325793653
1.75825	0.0001824662639650615	0.00034485135501326875	0.00013415419063632526
1.770625	0.00047642002548578066	0.000296603913261983	0.0002147860804037168
1.783	0.00042221125170771134	0.00025934233953780545	0.0003738730399398604
1.795375	0.0003175362214450503	0.0001708438987457556	0.00031391744806775237
1.804375			0.00026302821660637173
1.80775	0.0004981410069011885	0.00027298053944992107	0.00031840561834925256
1.820125	0.00041058396114884656	0.0002858250972339509	0.00019904130872119862
1.8325	0.00033670664075446667	0.0002688206082344832	0.00020073520662665904
1.844875	0.0003068814746282897	0.0002473352332791339	0.00023047809796818787
1.85725	0.00029648855718388033	0.0002306427928749977	0.00030962912030341893
1.86625			0.00032158132672402466
1.869625	0.0002689799684330601	0.0003364399077382022	0.000236692534512181
1.882	0.00015417614608151256	0.0003840818132988698	0.0003155271232907211
1.894375	0.0001555646439431261	0.00024947602088904575	0.0003257896436202379
1.90675	0.00030277981900299415	0.00011029009242922004	0.00031055705177549246
1.919125	0.0002760519038862192	0.00029376404968914496	0.00038266466956039515
1.928125			0.0002618904111931804
1.9315	0.00032150775393250145	0.00024183761719981012	0.00024033734468401264
1.943875	0.0002692829189770772	0.00017739488552180724	0.00013545520232484648
1.95625	0.0002601400594462537	0.00022793884473739967	0.00022735533883309274
1.968625	0.00045521022079910995	0.0002221350914079412	0.0003127691921903185
1.981	0.0004126066005859987	0.00016159998363395308	0.0002494700580708713
1.99			0.00020332550626458648
1.993375	0.0002621144965529329	0.00012524525951782567	0.00015867378620754437
2.00575	0.0001997760481460365	0.00027948719052299606	0.0001736108829982657
2.018125	0.00022951362900395172	0.00032186209419289124	0.0001893090946290843
2.0305	0.00021192351818683053	0.00022223800044070748	0.00016747585578501725
2.042875	0.00017191824428308211	0.0002585028202762544	0.00010796017807760183
2.051875			0.00026385301895793785
2.05525	0.00034099347449124533	0.0003759975162013861	0.00018928474582557254
2.067625	0.0003478211347740041	0.0003520634454416503	0.0003079296111587775
2.08	0.00034943919568143395	0.0002901963447151557	0.00017775212856851392
2.092375	0.0003651423965446893	0.00020689983929505384	0.0002360964592601276
2.10475	0.0003053163860402548	0.0001623006834808834	0.0002244689387641014
2.11375			0.00020371495775443787
2.117125	0.0003222072317011994	0.00023792651122275213	0.0001760779241009514
2.1295	0.00028759865050304316	0.0002444327454820479	0.00022410912694286147
2.141875	0.0001712039326748063	0.00020438573067002404	0.00020862375906401361
2.15425	0.0003431509193860187	0.00018258894216668735	0.0001622683088096684
2.166625	0.0003935922724732866	0.00017161958587642582	0.00015518613888838753
2.175625			0.00018694437951786622
2.179	0.00022078898736924607	0.00020340083303095664	0.00022191143215043494
2.191375	0.00021985974904276478	0.0003202458100198307	0.00021359262682430657
2.20375	0.0002805109306389487	0.0002631125100641342	0.00021092737415717076
2.216125	0.0002597562975771858	0.00024424153608556734	0.00020330624426664198
2.2285	0.0003798661056282547	0.00022674268369739388	0.00017361706267428442
2.2375			0.0001686540906857868
2.240875	0.00036197335754178597	0.00021349682166412593	0.00015970901997468273
2.25325	0.00034496702436542407	0.00025107432487409995	0.00013986954587080454
2.265625	0.0004006891200867115	0.0002318553129805593	0.0001295247964468314
2.278	0.00015422748727541923	0.00023837511729247161	0.00011052125347189833
2.290375	0.0002557113053232608	0.00020992464884628462	0.00014492458866816182
2.299375			0.00023784904404540265
2.30275	0.0002607620989688377	0.00020120006833772175	0.00019344870623561663
2.315125	0.0003627975147559812	0.0002336855772044274	0.0001838482344714694
2.3275	0.0005080171869191164	0.0002567905984365713	0.00014636145286332192
2.339875	0.00040316332322699877	0.00031493609967866103	0.00020634016177118188
2.35225	0.0003594926725443043	0.00020434477198851063	0.00022735034329704983
2.36125			0.00023242701328933326
2.364625	0.0003524058571302123	0.00014919983587081994	0.00030337433606895557
2.377	0.0004146277462686138	0.00019905050451890345	0.000165530819688661
2.389375	0.00042917048906051765	0.0003241166572721061	0.00020876976667861632
2.40175	0.00026896352413353377	0.00025548074323222483	0.0002551872800933659
2.414125	0.00015144470284322395	0.00021419167114213942	0.00016955156155952204
2.423125			0.00024318783479568854
2.4265	0.00019209016042268172	0.0002566726496730254	0.00025551006189894287
2.438875	0.00013626714319306765	0.00025193663649939835	0.00020594785878974317
2.45125	0.0002144941116085332	0.0003132868299454733	0.0001645012456592773
2.463625	0.0002778498758515755	0.00023360999816483862	0.00010489290527860261
2.476	0.0003417267160435959	0.0002390343936772079	0.00020552066130679025
2.485			0.00022498327640357516
2.488375	0.00039893754808207753	0.00017503687658007927	0.00025495418276880633
2.50075	0.00037580007570555866	0.00016864709698154783	0.00017940988696477572
2.513125	0.00024208733677707122	0.00017040821246810584	0.0001649432449144405
2.5255	0.00020531999072376367	0.00021367673047413563	0.00016146459674568414
2.537875	0.00023995100751470413	0.00025715960381321863	0.00019316038356146327
2.546875			0.00019051112076494015
2.55025	0.0002183491352169731	0.00019906835658906215	0.00023095690460246042
2.562625	0.00022393682629428304	0.000165298907304785	0.00012264102225094137
2.575	0.00021402878289821208	0.00018204195541204231	0.00012529688708060548
2.587375	0.00011573250300774801	0.0002508011695975089	0.00012675162619279643
2.59975	0.00020928982452508076	0.0003129055686111372	0.00018785810338313623
2.60875			0.0002104846696679062
2.612125	0.00018515469212355813	0.00030298385976340326	0.00013723719748464554
2.6245	0.00023955528755801217	0.0002215902258762374	0.0001508944605316971
2.636875	0.0003231175265891939	0.0002460209020772796	0.00011168917125025327
2.64925	0.0002638377385417808	0.00019857287117136898	0.00015066072615635802
2.661625	0.00017611523436038005	0.00018158583768653765	0.00013922563060701716
2.670625			0.00022026601387991634
2.674	0.0002220934311605492	0.00021583869965128031	0.00014845196581691198
2.686375	0.0002729009151725043	0.0002866182629091008	0.00023905462366695694
2.69875	0.00032550199659234637	0.0002582131039921946	0.00032153821318406915
2.711125	0.0003763774690471536	0.00018285378072134878	0.0002857302078887199
2.7235	0.00030593796365876384	0.0001532840229817547	0.00023960855395154635
2.7325			0.00026070795547424307
2.735875	0.00033625724889158526	0.0001290430347562684	0.00023235354156693523
2.74825	0.0002832970779635265	0.00016433052939935537	0.0002530891027116584
2.760625	0.00037825818757330966	0.00015345664465485064	0.0002741115518671096
2.773	0.00045278146927356643	0.0001703541335353199	0.00022905905900856576
2.785375	0.0004449830413115398	0.00021569213824242065	0.00018621579225185897
2.794375			0.00022657433070588006
2.79775	0.0002684108046146138	0.0002094534071666164	0.00019534893484381838
2.810125	0.00015560585264250539	0.00018010683013442634	0.00020558569378473568
2.8225	0.0001401840319745669	0.0001466278366734175	0.00022975051434555354
2.834875	0.0002521396051570992	0.00013995096214223718	0.00019519430835487466
2.84725	0.000222024680202818	0.00015981055691634892	0.000136746776275434
2.85625			0.00021266836820062334
2.859625	0.00018769835068527664	0.00025042531105615726	9.19007774360239e-05
2.872	0.0002357383568164695	0.00023860297937680722	0.00016149996870826042
2.884375	0.0002087649521928427	0.00021210172334493158	0.00016968034826499474
