Frequency_Hz	Pair_2_Noise_nV
6.07375	9.122051341498138e-05
6.077125	8.228882543850593e-05
6.0895	9.74015457738187e-05
6.101875	0.00011760841111662829
6.11425	0.00012404052130899593
6.126625	0.00011499076253935913
6.135625	0.00010034107496954525
6.139	0.00010144364175927636
6.151375	0.00010757077195610294
6.16375	0.00010052580038066049
6.176125	0.00011082651842872986
6.1885	9.971990533517168e-05
6.1975	9.259536712971929e-05
6.200875	0.00011237022485622425
6.21325	0.00011027691800158137
6.225625	8.014234054959962e-05
6.238	0.0001003721499725915
6.250375	9.304412120599561e-05
6.259375	9.858603940289466e-05
6.26275	0.0001108948550742026
6.275125	0.00010748647753860204
6.2875	0.00010865717693423845
6.299875	0.00011049251908671239
6.31225	8.923334816141328e-05
6.32125	9.926906738178817e-05
6.324625	4.6359375927953346e-05
6.337	7.363063432570374e-05
6.349375	9.30340755178037e-05
6.36175	8.097278990433515e-05
6.374125	9.195702544924285e-05
6.383125	7.276846478909735e-05
6.3865	9.157543474646298e-05
6.398875	7.188667381636182e-05
6.41125	6.938137048832416e-05
6.423625	6.681651886469468e-05
6.436	4.759538546572241e-05
6.445	9.190153528960656e-05
6.448375	8.058759781497089e-05
6.46075	0.00011558095212385777
6.473125	8.973379252175013e-05
6.4855	8.419659646909191e-05
6.497875	7.757597629226654e-05
6.506875	8.842135647799122e-05
6.51025	7.293248339773368e-05
6.522625	9.865378947364362e-05
6.535	6.0066507427236857e-05
6.547375	0.00010356943086289313
6.55975	8.997586033579451e-05
6.56875	9.101126532769886e-05
6.572125	0.00011187286555223075
6.5845	9.537424995970506e-05
6.596875	0.00010099051862772267
6.60925	0.00010949192876646205
6.621625	0.00010791086046282597
6.630625	0.00012571528938892
6.634	0.00010875198596986631
6.646375	7.805948111549103e-05
6.65875	8.53242237357862e-05
6.671125	0.00010408155314581157
6.6835	9.535140639587022e-05
6.6925	0.0001160269855296047
6.695875	9.922356299802179e-05
6.70825	8.705040215278216e-05
6.720625	7.521686921666443e-05
6.733	8.001540235544654e-05
6.745375	0.00010838685350982379
6.754375	8.267419479037035e-05
6.75775	0.00010251892641798426
6.770125	8.848273283153725e-05
6.7825	7.639083535642938e-05
6.794875	8.159565697180762e-05
6.80725	6.691497879895053e-05
6.81625	8.016273391573418e-05
6.819625	5.91418209501745e-05
6.832	7.334732444296724e-05
6.844375	0.0001107593537266948
6.85675	0.00011945545888514095
6.869125	0.00012488640886110025
6.878125	8.600064611904785e-05
6.8815	0.00012373838525110435
6.893875	0.00011505814078560065
6.90625	0.00012147610048943784
6.918625	0.00013475581032813981
6.931	0.00010806381279745168
6.94	6.862327074436484e-05
6.943375	7.835404726178795e-05
6.95575	7.948539103614777e-05
6.968125	9.106506025355114e-05
6.9805	0.00011491277511239292
6.992875	0.00012279606098692156
7.001875	6.277866657925445e-05
7.00525	0.00011945799518554797
7.017625	0.00011135287313772869
7.03	9.437709997285093e-05
7.042375	7.29534933447652e-05
7.05475	7.137372063841494e-05
7.06375	7.738648140157814e-05
7.067125	6.543782919940116e-05
7.0795	5.37330688324862e-05
7.091875	8.911190600985707e-05
7.10425	8.811866685418079e-05
7.116625	0.00010541466845415584
7.125625	9.225409887953218e-05
7.129	0.00011011665419693972
7.141375	0.00010122670998222554
7.15375	7.497256300297264e-05
7.166125	7.61121766798894e-05
7.1785	7.874990273733867e-05
7.1875	0.00010625498057912909
7.190875	7.766293444067125e-05
7.20325	7.38992888868675e-05
7.215625	9.876147152599944e-05
7.228	9.182739556541555e-05
7.240375	7.675005116453914e-05
7.249375	8.191558929642636e-05
7.25275	5.695612519574607e-05
7.265125	6.520581434688167e-05
7.2775	9.813217071946844e-05
7.289875	9.20743398088288e-05
7.30225	7.609534819977172e-05
7.31125	9.241012455845301e-05
7.314625	7.99217024174085e-05
7.327	7.005661093522795e-05
7.339375	5.506472239960536e-05
7.35175	8.336961408052217e-05
7.364125	0.0001026726916593575
7.373125	9.540017929817322e-05
7.3765	0.00011013018884218078
7.388875	7.698939736735701e-05
7.40125	4.52223479900635e-05
7.413625	7.669824048427447e-05
7.426	9.371009360265947e-05
7.435	9.295557868551838e-05
7.438375	9.000813356171763e-05
7.45075	9.668768283547548e-05
7.463125	9.485980036917219e-05
7.4755	7.688224282223278e-05
7.487875	0.00010158974095555908
7.496875	9.276942573460559e-05
7.50025	0.00011864048594043729
7.512625	0.00010665972769836795
7.525	0.00010258690870764163
7.537375	8.665475050813025e-05
7.54975	0.00011109148694325366
7.55875	8.128380999443554e-05
7.562125	8.410994153410939e-05
7.5745	0.00011227746316785529
7.586875	9.201891761405234e-05
7.59925	0.00010957482925220554
7.611625	0.00010085597358023768
7.620625	8.219860226673444e-05
7.624	8.627066053916405e-05
7.636375	9.708666596735774e-05
7.64875	8.972940299555325e-05
7.661125	7.672402597153945e-05
7.6735	6.785110124721632e-05
7.6825	0.00011522305275994731
7.685875	9.52359349991714e-05
7.69825	8.309196678947973e-05
7.710625	7.362125468829977e-05
7.723	8.489847364526174e-05
7.735375	0.00010040242728357268
7.744375	0.000116496417469737
7.74775	0.00010185974660171898
7.760125	8.628082335977966e-05
7.7725	8.810349380150597e-05
7.784875	8.472603106487061e-05
7.79725	0.0001086122795607813
7.80625	8.063102200852741e-05
7.809625	0.0001268880013367982
7.822	0.00013417049625308983
7.834375	0.00011681318086055343
7.84675	7.188568370981249e-05
7.859125	7.126580932442989e-05
7.868125	7.646611678553057e-05
7.8715	7.4229722601653e-05
7.883875	8.696788381969118e-05
7.89625	9.62559247658574e-05
7.908625	0.00012260529941663168
7.921	7.531332725667815e-05
7.93	9.049212827487481e-05
7.933375	7.42478941252848e-05
7.94575	8.376065166511004e-05
7.958125	7.780302179268296e-05
7.9705	7.846028072752927e-05
7.982875	8.279925012751744e-05
7.991875	7.136983519510115e-05
7.99525	0.00010217530976484679
8.007625	0.00012715696395153943
8.02	0.00012111025683710856
8.032375	7.451657456373046e-05
8.04475	6.689141550832438e-05
8.05375	8.51852679780254e-05
8.057125	7.74176721568661e-05
8.0695	6.801851897720209e-05
8.081875	5.3601873278780104e-05
